Station,PM2.5,Timestamp,Latitude,Longitude,Lines
Manganese and its inorganic compounds (as Mn),0.2,2024-05 to 2024-09,,,
"Nickel and its inorganic compounds (except nickel 
tetracarbonyl):nickel and water-insoluble nickel 
compounds (as Ni)",0.5,2024-05 to 2024-09,,,
Employee no. 9847173 Shift no. EN23,0.21,2024-05 to 2024-09,,,
"Platform 1 - Westbound, District/H&C Line",0.41,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, District/H&C Line",0.39,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.26,2024-05 to 2024-09,,,
"Ticket Hall/Gate Line - Bakerloo/Jubilee 
Line (in lieu of personal sample)",0.25,2024-05 to 2024-09,,,
"Platform 5 - Eastbound, Circle/H&C Line",0.4,2024-05 to 2024-09,,,
"Platform 6 - Westbound, Circle/H&C Line",0.4,2024-05 to 2024-09,,,
"Platform 7 - Eastbound, Jubilee Line",0.68,2024-05 to 2024-09,,,
"Platform 8 - Southbound, Bakerloo Line",0.51,2024-05 to 2024-09,,,
"Platform 9 - Northbound, Bakerloo Line",0.88,2024-05 to 2024-09,,,
"Platform 10 - Westbound, Jubilee Line",0.34,2024-05 to 2024-09,,,
"Ticket Hall/Gate Line - 
Circle/H&C/Metropolitan Line",0.3,2024-05 to 2024-09,,,
"Outside Station Supervisor Office (in lieu of 
personal sample)",0.28,2024-05 to 2024-09,,,
"Platform 3 - Southbound, Northern Line",0.62,2024-05 to 2024-09,,,
"Platform 4 - Northbound, Northern Line",1.03,2024-05 to 2024-09,,,
"Platform 5 - Westbound, Central Line",0.69,2024-05 to 2024-09,,,
"Platform 6 - Eastbound, Central Line",0.7,2024-05 to 2024-09,,,
Platform 9 - DLR,0.61,2024-05 to 2024-09,,,
Platform 10 - DLR,0.59,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Central Line,0.51,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Northern Line,0.3,2024-05 to 2024-09,,,
"Outside Station Supervisor Office (in lieu of 
personal sample)",0.33,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Jubilee Line",0.46,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Jubilee Line",0.55,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.22,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.34,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",0.67,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern Line",0.64,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.36,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.12,2024-05 to 2024-09,,,
Platform 1 - DLR,0.49,2024-05 to 2024-09,,,
Platform 2 - DLR,0.26,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.1,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.04,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",0.64,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern Line",0.42,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Bakerloo Line",0.45,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Bakerloo Line",0.4,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Bakerloo Line,0.08,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Northern Line,0.17,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.04,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Northern Line",0.75,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Northern Line",0.59,2024-05 to 2024-09,,,
"Platform 5 - Northbound, Bakerloo Line",0.65,2024-05 to 2024-09,,,
"Platform 6 - Southbound, Bakerloo Line",0.7,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.05,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.15,2024-05 to 2024-09,,,
"Platform 1 - Westbound, 
Circle/H&C/Metropolitan Line",0.55,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, 
Circle/H&C/Metropolitan Line",0.5,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - North Side,0.35,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - South Side,0.17,2024-05 to 2024-09,,,
Personal - Duty No. B722,0.13,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",1.07,2024-05 to 2024-09,,,
